Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (FAO),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"TCL","Crops and livestock products","004","Afghanistan","5910","Export quantity","667","Tea leaves","2024","2024","t","9.65","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","004","Afghanistan","5922","Export value","667","Tea leaves","2024","2024","1000 USD","67","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","008","Albania","5910","Export quantity","667","Tea leaves","2024","2024","t","1.59","A","Official figure",""
"TCL","Crops and livestock products","008","Albania","5922","Export value","667","Tea leaves","2024","2024","1000 USD","32","A","Official figure",""
"TCL","Crops and livestock products","012","Algeria","5910","Export quantity","667","Tea leaves","2024","2024","t","8.66","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","012","Algeria","5922","Export value","667","Tea leaves","2024","2024","1000 USD","9","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","024","Angola","5910","Export quantity","667","Tea leaves","2024","2024","t","29.48","A","Official figure",""
"TCL","Crops and livestock products","024","Angola","5922","Export value","667","Tea leaves","2024","2024","1000 USD","8","A","Official figure",""
"TCL","Crops and livestock products","028","Antigua and Barbuda","5910","Export quantity","667","Tea leaves","2024","2024","t","0.17","A","Official figure",""
"TCL","Crops and livestock products","028","Antigua and Barbuda","5922","Export value","667","Tea leaves","2024","2024","1000 USD","6","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5910","Export quantity","667","Tea leaves","2024","2024","t","56959.79","A","Official figure",""
"TCL","Crops and livestock products","032","Argentina","5922","Export value","667","Tea leaves","2024","2024","1000 USD","64555","A","Official figure",""
"TCL","Crops and livestock products","051","Armenia","5910","Export quantity","667","Tea leaves","2024","2024","t","75.94","A","Official figure",""
"TCL","Crops and livestock products","051","Armenia","5922","Export value","667","Tea leaves","2024","2024","1000 USD","448","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5910","Export quantity","667","Tea leaves","2024","2024","t","1281.7","A","Official figure",""
"TCL","Crops and livestock products","036","Australia","5922","Export value","667","Tea leaves","2024","2024","1000 USD","4851","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5910","Export quantity","667","Tea leaves","2024","2024","t","684.63","A","Official figure",""
"TCL","Crops and livestock products","040","Austria","5922","Export value","667","Tea leaves","2024","2024","1000 USD","8608","A","Official figure",""
"TCL","Crops and livestock products","031","Azerbaijan","5910","Export quantity","667","Tea leaves","2024","2024","t","747.12","A","Official figure",""
"TCL","Crops and livestock products","031","Azerbaijan","5922","Export value","667","Tea leaves","2024","2024","1000 USD","6634","A","Official figure",""
"TCL","Crops and livestock products","044","Bahamas","5910","Export quantity","667","Tea leaves","2024","2024","t","0.01","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","044","Bahamas","5922","Export value","667","Tea leaves","2024","2024","1000 USD","0","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","048","Bahrain","5910","Export quantity","667","Tea leaves","2024","2024","t","0.89","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","048","Bahrain","5922","Export value","667","Tea leaves","2024","2024","1000 USD","6","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","050","Bangladesh","5910","Export quantity","667","Tea leaves","2024","2024","t","926.1","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","050","Bangladesh","5922","Export value","667","Tea leaves","2024","2024","1000 USD","2207","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","052","Barbados","5910","Export quantity","667","Tea leaves","2024","2024","t","3.14","A","Official figure",""
"TCL","Crops and livestock products","052","Barbados","5922","Export value","667","Tea leaves","2024","2024","1000 USD","41","A","Official figure",""
"TCL","Crops and livestock products","112","Belarus","5910","Export quantity","667","Tea leaves","2024","2024","t","4.63","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","112","Belarus","5922","Export value","667","Tea leaves","2024","2024","1000 USD","42","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","056","Belgium","5910","Export quantity","667","Tea leaves","2024","2024","t","6686.36","A","Official figure",""
"TCL","Crops and livestock products","056","Belgium","5922","Export value","667","Tea leaves","2024","2024","1000 USD","42835","A","Official figure",""
"TCL","Crops and livestock products","204","Benin","5910","Export quantity","667","Tea leaves","2024","2024","t","1.2","A","Official figure",""
"TCL","Crops and livestock products","204","Benin","5922","Export value","667","Tea leaves","2024","2024","1000 USD","2","A","Official figure",""
"TCL","Crops and livestock products","064","Bhutan","5910","Export quantity","667","Tea leaves","2024","2024","t","0.09","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","064","Bhutan","5922","Export value","667","Tea leaves","2024","2024","1000 USD","4","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","070","Bosnia and Herzegovina","5910","Export quantity","667","Tea leaves","2024","2024","t","2.66","A","Official figure",""
"TCL","Crops and livestock products","070","Bosnia and Herzegovina","5922","Export value","667","Tea leaves","2024","2024","1000 USD","47","A","Official figure",""
"TCL","Crops and livestock products","072","Botswana","5910","Export quantity","667","Tea leaves","2024","2024","t","0.26","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","072","Botswana","5922","Export value","667","Tea leaves","2024","2024","1000 USD","2","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","076","Brazil","5910","Export quantity","667","Tea leaves","2024","2024","t","229.5","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","076","Brazil","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1683","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5910","Export quantity","667","Tea leaves","2024","2024","t","0.16","A","Official figure",""
"TCL","Crops and livestock products","096","Brunei Darussalam","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5910","Export quantity","667","Tea leaves","2024","2024","t","99.18","A","Official figure",""
"TCL","Crops and livestock products","100","Bulgaria","5922","Export value","667","Tea leaves","2024","2024","1000 USD","632","A","Official figure",""
"TCL","Crops and livestock products","854","Burkina Faso","5910","Export quantity","667","Tea leaves","2024","2024","t","26.3","A","Official figure",""
"TCL","Crops and livestock products","854","Burkina Faso","5922","Export value","667","Tea leaves","2024","2024","1000 USD","22","A","Official figure",""
"TCL","Crops and livestock products","108","Burundi","5910","Export quantity","667","Tea leaves","2024","2024","t","7407","A","Official figure",""
"TCL","Crops and livestock products","108","Burundi","5922","Export value","667","Tea leaves","2024","2024","1000 USD","14331","A","Official figure",""
"TCL","Crops and livestock products","116","Cambodia","5910","Export quantity","667","Tea leaves","2024","2024","t","4.46","A","Official figure",""
"TCL","Crops and livestock products","116","Cambodia","5922","Export value","667","Tea leaves","2024","2024","1000 USD","95","A","Official figure",""
"TCL","Crops and livestock products","120","Cameroon","5910","Export quantity","667","Tea leaves","2024","2024","t","62.56","I","Value imputed by a receiving agency",""
"TCL","Crops and livestock products","120","Cameroon","5922","Export value","667","Tea leaves","2024","2024","1000 USD","58","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","124","Canada","5910","Export quantity","667","Tea leaves","2024","2024","t","3910.87","A","Official figure",""
"TCL","Crops and livestock products","124","Canada","5922","Export value","667","Tea leaves","2024","2024","1000 USD","35429","A","Official figure",""
"TCL","Crops and livestock products","148","Chad","5910","Export quantity","667","Tea leaves","2024","2024","t","0.02","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","148","Chad","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1","X","Figure from external organization","Estimated data using trading partners database"
"TCL","Crops and livestock products","152","Chile","5910","Export quantity","667","Tea leaves","2024","2024","t","96.85","A","Official figure",""
"TCL","Crops and livestock products","152","Chile","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1542","A","Official figure",""
"TCL","Crops and livestock products","159","China","5910","Export quantity","667","Tea leaves","2024","2024","t","382693.67","A","Official figure",""
"TCL","Crops and livestock products","159","China","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1521757","A","Official figure",""
"TCL","Crops and livestock products","344","China, Hong Kong SAR","5910","Export quantity","667","Tea leaves","2024","2024","t","1315.2","A","Official figure",""
"TCL","Crops and livestock products","344","China, Hong Kong SAR","5922","Export value","667","Tea leaves","2024","2024","1000 USD","15803","A","Official figure",""
"TCL","Crops and livestock products","446","China, Macao SAR","5910","Export quantity","667","Tea leaves","2024","2024","t","2.76","A","Official figure",""
"TCL","Crops and livestock products","446","China, Macao SAR","5922","Export value","667","Tea leaves","2024","2024","1000 USD","27","A","Official figure",""
"TCL","Crops and livestock products","156","China, mainland","5910","Export quantity","667","Tea leaves","2024","2024","t","374121.64","A","Official figure",""
"TCL","Crops and livestock products","156","China, mainland","5922","Export value","667","Tea leaves","2024","2024","1000 USD","1418933","A","Official figure",""
"TCL","Crops and livestock products","158","China, Taiwan Province of","5910","Export quantity","667","Tea leaves","2024","2024","t","7254.08","A","Official figure",""
"TCL","Crops and livestock products","158","China, Taiwan Province of","5922","Export value","667","Tea leaves","2024","2024","1000 USD","86994","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5910","Export quantity","667","Tea leaves","2024","2024","t","148.31","A","Official figure",""
"TCL","Crops and livestock products","170","Colombia","5922","Export value","667","Tea leaves","2024","2024","1000 USD","2488","A","Official figure",""
