Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","032","Argentina","5312","Area harvested","01620","Tea leaves","2024","2024","ha","29869","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","11943.9","A","Official figure",""
"QCL","Crops and livestock products","032","Argentina","5510","Production","01620","Tea leaves","2024","2024","t","356753","A","Official figure",""
"QCL","Crops and livestock products","031","Azerbaijan","5312","Area harvested","01620","Tea leaves","2024","2024","ha","740","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","031","Azerbaijan","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","1624.7","E","Estimated value",""
"QCL","Crops and livestock products","031","Azerbaijan","5510","Production","01620","Tea leaves","2024","2024","t","1202.11","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","050","Bangladesh","5312","Area harvested","01620","Tea leaves","2024","2024","ha","58754","A","Official figure",""
"QCL","Crops and livestock products","050","Bangladesh","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","7448.9","E","Estimated value",""
"QCL","Crops and livestock products","050","Bangladesh","5510","Production","01620","Tea leaves","2024","2024","t","437652","E","Estimated value",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5312","Area harvested","01620","Tea leaves","2024","2024","ha","276","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","4345.9","A","Official figure",""
"QCL","Crops and livestock products","068","Bolivia (Plurinational State of)","5510","Production","01620","Tea leaves","2024","2024","t","1201.02","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5312","Area harvested","01620","Tea leaves","2024","2024","ha","207","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","9715","A","Official figure",""
"QCL","Crops and livestock products","076","Brazil","5510","Production","01620","Tea leaves","2024","2024","t","2011","A","Official figure",""
"QCL","Crops and livestock products","108","Burundi","5312","Area harvested","01620","Tea leaves","2024","2024","ha","8021","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","108","Burundi","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","6489.3","E","Estimated value",""
"QCL","Crops and livestock products","108","Burundi","5510","Production","01620","Tea leaves","2024","2024","t","52047.44","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","120","Cameroon","5312","Area harvested","01620","Tea leaves","2024","2024","ha","2369","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","120","Cameroon","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","10418.2","E","Estimated value",""
"QCL","Crops and livestock products","120","Cameroon","5510","Production","01620","Tea leaves","2024","2024","t","24683.67","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","159","China","5312","Area harvested","01620","Tea leaves","2024","2024","ha","3645423","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","4471.1","E","Estimated value",""
"QCL","Crops and livestock products","159","China","5510","Production","01620","Tea leaves","2024","2024","t","16298900","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5312","Area harvested","01620","Tea leaves","2024","2024","ha","3631693","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","156","China, mainland","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","4477.5","E","Estimated value",""
"QCL","Crops and livestock products","156","China, mainland","5510","Production","01620","Tea leaves","2024","2024","t","16260900","E","Estimated value",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5312","Area harvested","01620","Tea leaves","2024","2024","ha","13730","I","Value imputed by a receiving agency",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","2767.7","E","Estimated value",""
"QCL","Crops and livestock products","158","China, Taiwan Province of","5510","Production","01620","Tea leaves","2024","2024","t","38000","E","Estimated value",""
"QCL","Crops and livestock products","170","Colombia","5312","Area harvested","01620","Tea leaves","2024","2024","ha","90","A","Official figure",""
"QCL","Crops and livestock products","170","Colombia","5412","Yield","01620","Tea leaves","2024","2024","kg/ha","2500","A","Official figure",""
