typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20240101","2024","52","2024","8","ALB","Albania","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"248244.429","248244.429","0","false","true",
"C","A","20240101","2024","52","2024","12","DZA","Algeria","X","Export","0","W00","World","0","W00","World","H4","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","760.362","true","-1","N/A","0","false","760.362","true","0","false",,"14582.485","14582.485","6","false","true",
"C","A","20240101","2024","52","2024","24","AGO","Angola","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false",,"false","0","false",,"8089.67","8089.67","0","false","true",
"C","A","20240101","2024","52","2024","28","ATG","Antigua and Barbuda","X","Export","0","W00","World","0","W00","World","H3","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","170.055","false","5","u","267","false","170.055","false","0","false",,"5801.73","5801.73","0","false","true",
"C","A","20240101","2024","52","2024","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","747116.595","false","8","kg","747116.595","false","747116.595","false","0","false",,"6633749.57","6633749.57","0","false","true",
"C","A","20240101","2024","52","2024","32","ARG","Argentina","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","56959794","false","8","kg","56959794","false","56959794","false","0","false",,"64554523.18","64554523.18","0","false","true",
"C","A","20240101","2024","52","2024","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1281702.92","false","8","kg","1281702.92","false","1281702.92","false","1490.937","false",,"4851433.658","4851433.658","0","false","true",
"C","A","20240101","2024","52","2024","40","AUT","Austria","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","684624.505","true","-1","N/A","0","false","684624.505","true","0","false",,"8601805.237","8601805.237","6","false","true",
"C","A","20240101","2024","52","2024","44","BHS","Bahamas","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4.99","false","8","kg","4.99","false","4.99","false","0","false",,"113","113","0","false","true",
"C","A","20240101","2024","52","2024","48","BHR","Bahrain","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","236843.17","false","8","kg","236843.17","false","236843.17","false","0","false",,"468375.983","468375.983","0","false","true",
"C","A","20240101","2024","52","2024","51","ARM","Armenia","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","75936.43","false","8","kg","75936.43","false","75936.43","false","0","false",,"447573.52","447573.52","0","false","true",
"C","A","20240101","2024","52","2024","52","BRB","Barbados","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3141","false","8","kg","3141","false","3141","false","0","false",,"41430","41430","0","false","true",
"C","A","20240101","2024","52","2024","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1562079.84","false","8","kg","1562079.84","false","1562079.84","false","0","false",,"14219871.858","14219871.858","0","false","true",
"C","A","20240101","2024","52","2024","70","BIH","Bosnia Herzegovina","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2889.07","false","8","kg","2889.07","false","2889.07","false","0","false",,"51632.338","51632.338","0","false","true",
"C","A","20240101","2024","52","2024","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","228334.569","true","-1","N/A","0","false","227879.569","true","0","false",,"1683064","1683064","6","false","true",
"C","A","20240101","2024","52","2024","84","BLZ","Belize","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","13137.38","false","8","kg","13137.38","false","13137.38","false","0","false",,"23386.72","23386.72","0","false","true",
"C","A","20240101","2024","52","2024","96","BRN","Brunei Darussalam","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","159","false","8","kg","159","false","159","false","0","false",,"1030.298","1030.298","0","false","true",
"C","A","20240101","2024","52","2024","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","99214.411","true","-1","N/A","0","false","99214.411","true","0","false",,"631598.446","631598.446","6","false","true",
"C","A","20240101","2024","52","2024","104","MMR","Myanmar","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2261640.12","false","8","kg","2261640.12","false","2261640.12","false","0","false",,"1761759.598","1761759.598","0","false","true",
"C","A","20240101","2024","52","2024","116","KHM","Cambodia","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4458.06","false","8","kg","4458.06","false","4458.06","false","0","false",,"95170.69","95170.69","0","false","true",
"C","A","20240101","2024","52","2024","28","ATG","Antigua and Barbuda","X","Export","0","W00","World","0","W00","World","H3","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","1000","Air","8","kg","1.875","false","5","u","14","false","1.875","false","0","false",,"53.274","53.274","0","false","true",
"C","A","20240101","2024","52","2024","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","1000","Air","8","kg","83.875","false","8","kg","83.875","false","83.875","false","0","false",,"17352.61","17352.61","0","false","true",
"C","A","20240101","2024","52","2024","51","ARM","Armenia","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","1000","Air","8","kg","1482.3","false","8","kg","1482.3","false","1482.3","false","0","false",,"21532.17","21532.17","0","false","true",
"C","A","20240101","2024","52","2024","70","BIH","Bosnia Herzegovina","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","1000","Air","8","kg","3.03","false","8","kg","3.03","false","3.03","false","0","false",,"74.234","74.234","0","false","true",
"C","A","20240101","2024","52","2024","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","1000","Air","8","kg","1686.02","true","-1","N/A","0","false","1686.02","true","0","false",,"13743","13743","6","false","true",
"C","A","20240101","2024","52","2024","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","1000","Air","8","kg","487.077","true","-1","N/A","0","false","487.077","true","0","false",,"14303.797","14303.797","6","false","true",
"C","A","20240101","2024","52","2024","104","MMR","Myanmar","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","1000","Air","8","kg","3811.6","false","8","kg","3811.6","false","3811.6","false","0","false",,"17744.29","17744.29","0","false","true",
"C","A","20240101","2024","52","2024","8","ALB","Albania","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","2100","Sea","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"29888.131","29888.131","0","false","true",
"C","A","20240101","2024","52","2024","28","ATG","Antigua and Barbuda","X","Export","0","W00","World","0","W00","World","H3","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","2100","Sea","8","kg","168.18","false","5","u","253","false","168.18","false","0","false",,"5748.456","5748.456","0","false","true",
"C","A","20240101","2024","52","2024","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","2100","Sea","8","kg","528","false","8","kg","528","false","528","false","0","false",,"4305.83","4305.83","0","false","true",
"C","A","20240101","2024","52","2024","76","BRA","Brazil","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","2100","Sea","8","kg","224346.945","true","-1","N/A","0","false","223891.945","true","0","false",,"1660098","1660098","6","false","true",
"C","A","20240101","2024","52","2024","100","BGR","Bulgaria","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","2100","Sea","8","kg","1094","false","8","kg","1094","false","1094","false","0","false",,"34868.651","34868.651","0","false","true",
"C","A","20240101","2024","52","2024","70","BIH","Bosnia Herzegovina","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","3000","Land","8","kg","2886.04","false","8","kg","2886.04","false","2886.04","false","0","false",,"51558.104","51558.104","0","false","true",
"C","A","20240101","2024","52","2024","8","ALB","Albania","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","3200","Road","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false",,"218356.298","218356.298","0","false","true",
"C","A","20240101","2024","52","2024","31","AZE","Azerbaijan","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","3200","Road","8","kg","733642.42","false","8","kg","733642.42","false","733642.42","false","0","false",,"6399093.79","6399093.79","0","false","true",
"C","A","20240101","2024","52","2024","51","ARM","Armenia","X","Export","0","W00","World","0","W00","World","H6","HS","true","0902","Tea","4","false","C00","TOTAL CPC","0","3200","Road","8","kg","32466.61","false","8","kg","32466.61","false","32466.61","false","0","false",,"80331.98","80331.98","0","false","true",
