name,cheese_consumption,life_exp
Arboria,45,82
Bantuvistan,1.2,58
Coralis,32,75
Durnia-Terra,52,81
Eshanum,15,72
Fjordia-North,61,84
Galdoria,8.0,65
Hestios,28,74
Ilandravia,42,80
Jukon-Ra,2.5,62
Kantorix,55,83
Luminara,38,79
Mirelle-sur-Mer,19,70
Noveria-Prime,22,73
Oros-Minor,0.9,55
Palaristan,47,81
Quon-Lao,11,68
Riven-Dell,35,77
Solastis,4.0,64
Tuvia-Major,31,76
Umberia,29,75
Vance-Isles,41,79
Wuxian-Province,13,71
Xenon-Base,1.8,60
Yulon-Gao,26,76
Zale-Oasis,50,82
Amity-Point,15,69
Belkastan,33,78
Cinder-Rock,3.2,63
Dantovia,24,72
